sku,name,width_in,height_in,notes
soho-s-textured,Soho S (Textured),16,16,Listing reads 6 in L and 16 in 1H; treated as 16x16x16 to match Soho S
reewa,Reewa,26,10,26 in top diameter
avni,Avni,20.5,20.5,20.5 in diameter
varsha-table-top,Varsha - Table Top,7,7,7 in diameter
tura-table,Tura Table,27,20,
willow-table,Willow Table,27,17,
deco-chair-classic,Deco Chair (Classic),30.25,24,Furniture; length is the front-facing span
flora-with-stand,Flora with Stand,16,24,Height includes the stand
samsara,Samsara Planter,17,23,Bottom diameter 17 in is the widest span; top rim is 16 in
kaman,Kaman,19.5,15,
neto,Neto,26.5,16.5,
maurio,Maurio,7,7,
earthen-collection,Earthen Collection,16,16,
tura-large,Tura Large,27,26,
tura-medium,Tura Medium,20,19,
tura-small,Tura Small,14,14,
soho-l,Soho L,27,24,
soho-s,Soho S,16,16,
willow,Willow,30,20,
mavi,Mavi,27,20,
flora,Flora,16,16,
maya,Maya,15,15,
mukul-l,Mukul L,20,20,
veeru-a,Veeru A,22,30,
veeru-b,Veeru B,33.9,33.1,Converted from 86 x 86 x 84 cm
vasl,Vasl,18,18,
tibu,Tibu,13.5,13.5,
