Name,Image URL,Colors,Price Range (PKR),Product URL
Soho S (Textured),https://cdn.shopify.com/s/files/1/0593/4294/6390/files/soho-4.png?v=1777449717,"Grey, Sand",19900.00,https://meroliving.com/products/soho-s-textured
Reewa,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/reewa-3.jpg?v=1777111801,"Gray, Black, White, Sand",36000.00,https://meroliving.com/products/reewa
Avni,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/avni-main.jpg?v=1777110890,"Stone, Black",36500.00,https://meroliving.com/products/avni
Varsha - Table Top,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/varsha-2.jpg?v=1777112609,"Gray, Black, White, Sand",7800.00,https://meroliving.com/products/varsha-table-top
Tura Table,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/Tura-medium.jpg?v=1757418538,"Ash Grey, Black, White",64500.00,https://meroliving.com/products/tura-table
Willow Table,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/willow-table.jpg?v=1757418539,"Black, Grey, White",87500.00,https://meroliving.com/products/willow-table
Deco Chair,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/Chair-deco.jpg?v=1757418538,,115500.00,https://meroliving.com/products/deco-chair
Flora with Stand,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/flora-with-stand-1.jpg?v=1757528286,,34000.00,https://meroliving.com/products/flora-with-stand
Samsara Planter,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/grey_black-samsara.jpg?v=1777109147,"Black, Sand, White, Grey",39000.00,https://meroliving.com/products/samsara-planter
Kaman,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/Kaman-main.png?v=1717502298,White,31000.00,https://meroliving.com/products/kaman
Neto,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/Neto-black-main.png?v=1717502724,"Grey, Terracotta",35500.00,https://meroliving.com/products/neto
Maurio,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/Maurio-black-main.png?v=1717502525,"Black, Sand",7800.00,https://meroliving.com/products/maurio
Earthen Collection,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/Earthen_-_Main_Concrete_copy_1.png?v=1721303096,"Concrete, Orange, Sand, Sky Blue",19900.00,https://meroliving.com/products/earthen-collection
Tura Large,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/TuraBlack.png?v=1717502937,"Black, White, Sand",45500.00,https://meroliving.com/products/tura-large
Tura Medium,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/TuraBlack.png?v=1717502937,"Black, White, Sand",29500.00,https://meroliving.com/products/tura-medium
Tura Small,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/TuraBlack_22de3dcc-0d45-4a4b-a24b-c7b400a2cebc.png?v=1717503012,"Black, White, Sand",16500.00,https://meroliving.com/products/tura-small
Soho L,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/Soho-Whote.png?v=1717426860,"Black, Grey, White, Sand",45500.00,https://meroliving.com/products/soho-l
Soho S,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/Sohosmall-black_12341246-e7e3-4ce2-b21f-32dfca1ee49b.png?v=1717426918,"Black, Grey, White, Sand",19900.00,https://meroliving.com/products/soho-s
Willow,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/Willow-blackmain.png?v=1717426979,"Black, Grey, White",45500.00,https://meroliving.com/products/willow
Mavi,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/Mavi-black.png?v=1717418055,"Black, Grey, White",34500.00,https://meroliving.com/products/mavi
Flora,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/Flora-Black.png?v=1757418703,"Black, Grey, White",18300.00,https://meroliving.com/products/flora
Maya,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/Maya-main-black.png?v=1717516461,"Black, Sand, White",18900.00,https://meroliving.com/products/maya
Mukul L,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/Mukkul-Colors--sand.png?v=1717516528,"Sand, White",26500.00,https://meroliving.com/products/mukul-l
Mukul S,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/Mukkul-Colors-grey_935716c1-966b-4690-a8a5-61b13f13305d.png?v=1717516563,"White, Sand",17500.00,https://meroliving.com/products/mukul-s
Veeru B,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/621736773_18084321571946361_6585876686493352743_n.jpg?v=1775130361,Black,61500.00,https://meroliving.com/products/veeru-b
Veeru A,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/Veeru-grey.png?v=1717592815,"Grey, Black",46500.00,https://meroliving.com/products/veeru
Vasl,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/Vasl-Grey.png?v=1717592666,"Grey, Black",32500.00,https://meroliving.com/products/vasl
Tibu,https://cdn.shopify.com/s/files/1/0593/4294/6390/files/Tibu-Grey.png?v=1717592730,"Grey, White",17000.00,https://meroliving.com/products/tibu
