sku,width_in,height_in,rect_width_px,rect_height_px,x,y_top,file
soho-s-textured,16.0,16.0,614,614,717,1127,soho-s-textured-scaleref.png
reewa,26.0,10.0,998,384,525,1357,reewa-scaleref.png
avni,20.5,20.5,787,787,630,954,avni-scaleref.png
varsha-table-top,7.0,7.0,269,269,890,1472,varsha-table-top-scaleref.png
tura-table,27.0,20.0,1037,768,506,973,tura-table-scaleref.png
willow-table,27.0,17.0,1037,653,506,1088,willow-table-scaleref.png
deco-chair-classic,30.25,24.0,1162,922,443,819,deco-chair-classic-scaleref.png
flora-with-stand,16.0,24.0,614,922,717,819,flora-with-stand-scaleref.png
samsara,17.0,23.0,653,883,698,858,samsara-scaleref.png
kaman,19.5,15.0,749,576,650,1165,kaman-scaleref.png
neto,26.5,16.5,1018,634,515,1107,neto-scaleref.png
maurio,7.0,7.0,269,269,890,1472,maurio-scaleref.png
earthen-collection,16.0,16.0,614,614,717,1127,earthen-collection-scaleref.png
tura-large,27.0,26.0,1037,998,506,743,tura-large-scaleref.png
tura-medium,20.0,19.0,768,730,640,1011,tura-medium-scaleref.png
tura-small,14.0,14.0,538,538,755,1203,tura-small-scaleref.png
soho-l,27.0,24.0,1037,922,506,819,soho-l-scaleref.png
soho-s,16.0,16.0,614,614,717,1127,soho-s-scaleref.png
willow,30.0,20.0,1152,768,448,973,willow-scaleref.png
mavi,27.0,20.0,1037,768,506,973,mavi-scaleref.png
flora,16.0,16.0,614,614,717,1127,flora-scaleref.png
maya,15.0,15.0,576,576,736,1165,maya-scaleref.png
mukul-l,20.0,20.0,768,768,640,973,mukul-l-scaleref.png
veeru-a,22.0,30.0,845,1152,602,589,veeru-a-scaleref.png
veeru-b,33.9,33.1,1302,1271,373,470,veeru-b-scaleref.png
vasl,18.0,18.0,691,691,678,1050,vasl-scaleref.png
tibu,13.5,13.5,518,518,765,1223,tibu-scaleref.png
